"Identificação do post","Identificação da conta","Nome de usuário da conta","Nome da conta",Descrição,"Duração (s)","Horário de publicação","Link permanente","Tipo de post","Comentário de dados",Data,Visualizações,Curtidas,Compartilhamentos,Comentários,Salvamentos,Alcance,Seguimentos
18026704673766749,17841405730557330,monicametran,"Mônica Metran","Traduzindo não apenas a luz do mundo, nascendo de dentro, silenciosa e profunda. — Coleção Aura Viva",0,"12/06/2025 07:00",https://www.instagram.com/p/DR7R9OUDQaV/,"Carrossel do Instagram",,Total,15809,38,2,3,7,1565,2
18000131261785311,17841405730557330,monicametran,"Mônica Metran","Do encontro entre a pele e a poesia. Revelando o brilho que não se vê, mas se sente. — Coleção Aura Viva",0,"12/05/2025 13:30",https://www.instagram.com/p/DR5ZyJxjdH5/,"Carrossel do Instagram",,Total,17879,67,5,7,11,2946,1
17881556100424012,17841405730557330,monicametran,"Mônica Metran","A luz se renova, a vibração se eleva, a beleza ganha presença — Coleção Aura Viva.",0,"12/05/2025 07:00",https://www.instagram.com/p/DR4tLCeD_KQ/,"Carrossel do Instagram",,Total,21788,169,29,7,35,3934,6
18060686288558973,17841405730557330,monicametran,"Mônica Metran","O novo se manifesta. Um instante de cor, movimento e vida. Uma atmosfera que se transforma — uma Aura Viva.",0,"12/04/2025 14:30",https://www.instagram.com/p/DR2722lj9gJ/,"Carrossel do Instagram",,Total,18503,83,9,10,10,3206,1
18105188329581648,17841405730557330,monicametran,"Mônica Metran","Uma nova fase se inicia. Um novo tempo, um novo momento. Uma fase de cor, e de vida. Uma nova aura, uma Aura Viva. 

AURA VIVA: bem-vinda à sua nova vibração.",38,"12/04/2025 07:03",https://www.instagram.com/reel/DR2IGyCDapj/,"Reel do Instagram",,Total,37996,323,50,19,80,24792,270
18330686299208735,17841405730557330,monicametran,"Mônica Metran","A partir de amanhã, um novo momento, uma nova AURA. 
Aura Viva, amanhã às 12h.",43,"12/03/2025 08:03",https://www.instagram.com/reel/DRzqpNgjcBE/,"Reel do Instagram",,Total,5580,67,11,20,21,3961,2
17972829971808832,17841405730557330,monicametran,"Mônica Metran","Anel Ciclos — para celebrar a vida em seu movimento constante, feito de curvas, fluxos e emoções.",15,"12/02/2025 07:00",https://www.instagram.com/reel/DRxyO-ACeOS/,"Reel do Instagram",,Total,2550,42,2,4,21,2141,0
18167114053379393,17841405730557330,monicametran,"Mônica Metran","Curvas que seguem o ritmo da vida — cada retorno traz uma nova forma. Anel Voltas — Coleção Origem.",13,"12/01/2025 14:30",https://www.instagram.com/reel/DRvNfpNDbpK/,"Reel do Instagram",,Total,2412,24,2,0,2,2155,0
17905754571274856,17841405730557330,monicametran,"Mônica Metran","No movimento que retorna, o essencial perdura. Não é um brilho que passa: é o próprio tempo em forma.

Colar Ciclos — Coleção Origem.",0,"11/30/2025 13:00",https://www.instagram.com/p/DRXchKQD6iq/,"Carrossel do Instagram",,Total,14775,34,6,8,8,1558,1
18058824695274555,17841405730557330,monicametran,"Mônica Metran","Celebramos o essencial — o que perdura, o que permanece, o que é.",0,"11/29/2025 09:00",https://www.instagram.com/p/DRVWrYzD4mZ/,"Carrossel do Instagram",,Total,15029,36,6,1,9,1569,3
